epoch,index,onset_time,accuracy,pre_trial_accuracy,response_time,condition_stimulus,condition_cue,stimulus_shape,stimulus_location,num_checks,motivation,rewarded_time,production,delivered_reward,passed_time,received_reward
0,1,0.58,1.0,NaN,0.7080000000000001,incongruent,invalid,SQUARE,LEFT,1,1,2.831,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,2,2.212,1.0,post-correct,0.47899999999999965,congruent,valid,CIRCLE,LEFT,1,1,5.27,DONT-CHECK,0,1.296,-1.296
0,3,3.461,0.0,post-correct,0.6930000000000001,incongruent,invalid,CIRCLE,RIGHT,1,1,6.505,CHECK-PASS-M3,1,0.3,0.7
0,4,5.9,1.0,post-error,0.46499999999999986,incongruent,invalid,SQUARE,LEFT,1,1,7.76,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,5,7.135,1.0,post-correct,0.4850000000000003,incongruent,valid,CIRCLE,RIGHT,1,1,8.996,CHECK-PASS-M3,1,0.3,0.7
0,6,8.39,1.0,post-correct,0.4659999999999993,congruent,invalid,CIRCLE,LEFT,1,1,10.245,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,7,9.626,1.0,post-correct,0.479000000000001,congruent,valid,SQUARE,RIGHT,1,1,11.879,DONT-CHECK,1,0.479,0.521
0,8,10.875,1.0,post-correct,0.7050000000000001,incongruent,valid,CIRCLE,RIGHT,1,1,13.134,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,9,12.509,1.0,post-correct,0.48499999999999943,incongruent,invalid,SQUARE,LEFT,1,1,14.939,DONT-CHECK,0,0.665,-0.665
0,10,13.764,0.0,post-correct,0.6699999999999999,incongruent,invalid,CIRCLE,RIGHT,1,1,16.171,CHECK-PASS-M3,1,0.3,0.7
0,11,15.569,1.0,post-error,0.46199999999999797,incongruent,valid,SQUARE,LEFT,1,1,17.424,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,12,16.801,1.0,post-correct,0.48300000000000054,incongruent,valid,CIRCLE,RIGHT,1,1,19.023,DONT-CHECK,1,0.458,0.542
0,13,18.054,1.0,post-correct,0.6710000000000029,congruent,invalid,CIRCLE,LEFT,1,1,20.273,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,14,19.653,1.0,post-correct,0.4800000000000004,congruent,valid,SQUARE,RIGHT,1,1,21.527,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,15,20.903,1.0,post-correct,0.48400000000000176,incongruent,invalid,CIRCLE,RIGHT,1,1,22.761,CHECK-PASS-M3,1,0.3,0.7
0,16,22.157,1.0,post-correct,0.46399999999999864,congruent,valid,CIRCLE,LEFT,1,1,24.012,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,17,23.391,1.0,post-correct,0.48100000000000165,incongruent,valid,SQUARE,LEFT,1,1,25.24,CHECK-PASS-M3,1,0.3,0.7
0,18,24.642,1.0,post-correct,0.45800000000000196,congruent,invalid,SQUARE,RIGHT,1,1,26.468,CHECK-PASS-M3,1,0.3,0.7
