epoch,index,firing_time,production,rewarded_time,delivered_reward,passed_time,received_reward,:u,rule,:activation,motivation,at
0,0,0.825,DONT-PROCESS-LOCATION,1.582,1.0,0.807,0.19299999999999995,0.20832,CIRCLE-LEFT,2.058737,1,0.05
0,0,0.825,DONT-PROCESS-LOCATION,1.582,1.0,0.807,0.19299999999999995,0.20832,SQUARE-RIGHT,5.258906,1,0.05
0,0,0.825,DONT-PROCESS-LOCATION,1.582,1.0,0.595,0.405,0.20832,CIRCLE-LEFT,2.058737,1,0.05
0,0,0.825,DONT-PROCESS-LOCATION,1.582,1.0,0.595,0.405,0.20832,SQUARE-RIGHT,5.258906,1,0.05
0,0,1.037,DONT-PROCESS-LOCATION,1.582,1.0,0.807,0.19299999999999995,0.20832,CIRCLE-LEFT,2.058737,1,0.05
0,0,1.037,DONT-PROCESS-LOCATION,1.582,1.0,0.807,0.19299999999999995,0.20832,SQUARE-RIGHT,5.258906,1,0.05
0,0,1.037,DONT-PROCESS-LOCATION,1.582,1.0,0.595,0.405,0.20832,CIRCLE-LEFT,2.058737,1,0.05
0,0,1.037,DONT-PROCESS-LOCATION,1.582,1.0,0.595,0.405,0.20832,SQUARE-RIGHT,5.258906,1,0.05
0,0,0.775,DONT-PROCESS-SHAPE,1.582,1.0,0.857,0.14300000000000002,0.057200003,CIRCLE-LEFT,2.058737,1,0.05
0,0,0.775,DONT-PROCESS-SHAPE,1.582,1.0,0.857,0.14300000000000002,0.057200003,SQUARE-RIGHT,5.258906,1,0.05
0,0,0.987,PROCESS-SHAPE,1.582,1.0,0.645,0.355,0.142,CIRCLE-LEFT,2.058737,1,0.05
0,0,0.987,PROCESS-SHAPE,1.582,1.0,0.645,0.355,0.142,SQUARE-RIGHT,5.258906,1,0.05
0,1,2.407,PROCESS-LOCATION,2.816,1.0,0.459,0.5409999999999999,0.21640001,SQUARE-RIGHT,3.7647445,1,0.05
0,1,2.407,PROCESS-LOCATION,2.816,1.0,0.459,0.5409999999999999,0.21640001,CIRCLE-LEFT,2.2480369,1,0.05
0,1,2.457,PROCESS-SHAPE,2.816,1.0,0.409,0.591,0.3216,SQUARE-RIGHT,3.7647445,1,0.05
0,1,2.457,PROCESS-SHAPE,2.816,1.0,0.409,0.591,0.3216,CIRCLE-LEFT,2.2480369,1,0.05
0,2,4.905,DONT-PROCESS-LOCATION,5.267,0.0,0.412,-0.412,-0.039808005,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.905,DONT-PROCESS-LOCATION,5.267,0.0,0.412,-0.412,-0.039808005,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.691,PROCESS-LOCATION,5.267,0.0,1.626,-1.626,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.691,PROCESS-LOCATION,5.267,0.0,1.626,-1.626,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.691,PROCESS-LOCATION,5.267,0.0,1.461,-1.461,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.691,PROCESS-LOCATION,5.267,0.0,1.461,-1.461,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.691,PROCESS-LOCATION,5.267,0.0,0.872,-0.872,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.691,PROCESS-LOCATION,5.267,0.0,0.872,-0.872,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.691,PROCESS-LOCATION,5.267,0.0,0.617,-0.617,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.691,PROCESS-LOCATION,5.267,0.0,0.617,-0.617,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.691,PROCESS-LOCATION,5.267,0.0,0.205,-0.205,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.691,PROCESS-LOCATION,5.267,0.0,0.205,-0.205,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.856,PROCESS-LOCATION,5.267,0.0,1.626,-1.626,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.856,PROCESS-LOCATION,5.267,0.0,1.626,-1.626,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.856,PROCESS-LOCATION,5.267,0.0,1.461,-1.461,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.856,PROCESS-LOCATION,5.267,0.0,1.461,-1.461,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.856,PROCESS-LOCATION,5.267,0.0,0.872,-0.872,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.856,PROCESS-LOCATION,5.267,0.0,0.872,-0.872,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.856,PROCESS-LOCATION,5.267,0.0,0.617,-0.617,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.856,PROCESS-LOCATION,5.267,0.0,0.617,-0.617,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.856,PROCESS-LOCATION,5.267,0.0,0.205,-0.205,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.856,PROCESS-LOCATION,5.267,0.0,0.205,-0.205,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.445,PROCESS-LOCATION,5.267,0.0,1.626,-1.626,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.445,PROCESS-LOCATION,5.267,0.0,1.626,-1.626,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.445,PROCESS-LOCATION,5.267,0.0,1.461,-1.461,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.445,PROCESS-LOCATION,5.267,0.0,1.461,-1.461,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.445,PROCESS-LOCATION,5.267,0.0,0.872,-0.872,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.445,PROCESS-LOCATION,5.267,0.0,0.872,-0.872,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.445,PROCESS-LOCATION,5.267,0.0,0.617,-0.617,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.445,PROCESS-LOCATION,5.267,0.0,0.617,-0.617,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.445,PROCESS-LOCATION,5.267,0.0,0.205,-0.205,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.445,PROCESS-LOCATION,5.267,0.0,0.205,-0.205,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.7,PROCESS-LOCATION,5.267,0.0,1.626,-1.626,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.7,PROCESS-LOCATION,5.267,0.0,1.626,-1.626,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.7,PROCESS-LOCATION,5.267,0.0,1.461,-1.461,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.7,PROCESS-LOCATION,5.267,0.0,1.461,-1.461,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.7,PROCESS-LOCATION,5.267,0.0,0.872,-0.872,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.7,PROCESS-LOCATION,5.267,0.0,0.872,-0.872,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.7,PROCESS-LOCATION,5.267,0.0,0.617,-0.617,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.7,PROCESS-LOCATION,5.267,0.0,0.617,-0.617,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.7,PROCESS-LOCATION,5.267,0.0,0.205,-0.205,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.7,PROCESS-LOCATION,5.267,0.0,0.205,-0.205,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,5.112,PROCESS-LOCATION,5.267,0.0,1.626,-1.626,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,5.112,PROCESS-LOCATION,5.267,0.0,1.626,-1.626,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,5.112,PROCESS-LOCATION,5.267,0.0,1.461,-1.461,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,5.112,PROCESS-LOCATION,5.267,0.0,1.461,-1.461,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,5.112,PROCESS-LOCATION,5.267,0.0,0.872,-0.872,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,5.112,PROCESS-LOCATION,5.267,0.0,0.872,-0.872,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,5.112,PROCESS-LOCATION,5.267,0.0,0.617,-0.617,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,5.112,PROCESS-LOCATION,5.267,0.0,0.617,-0.617,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,5.112,PROCESS-LOCATION,5.267,0.0,0.205,-0.205,-0.549343,CIRCLE-LEFT,4.7709618,1,0.05
0,2,5.112,PROCESS-LOCATION,5.267,0.0,0.205,-0.205,-0.549343,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.641,PROCESS-SHAPE,5.267,0.0,1.676,-1.676,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.641,PROCESS-SHAPE,5.267,0.0,1.676,-1.676,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.641,PROCESS-SHAPE,5.267,0.0,1.411,-1.411,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.641,PROCESS-SHAPE,5.267,0.0,1.411,-1.411,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.641,PROCESS-SHAPE,5.267,0.0,0.822,-0.822,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.641,PROCESS-SHAPE,5.267,0.0,0.822,-0.822,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.641,PROCESS-SHAPE,5.267,0.0,0.667,-0.667,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.641,PROCESS-SHAPE,5.267,0.0,0.667,-0.667,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.641,PROCESS-SHAPE,5.267,0.0,0.462,-0.462,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.641,PROCESS-SHAPE,5.267,0.0,0.462,-0.462,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.641,PROCESS-SHAPE,5.267,0.0,0.255,-0.255,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.641,PROCESS-SHAPE,5.267,0.0,0.255,-0.255,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.906,PROCESS-SHAPE,5.267,0.0,1.676,-1.676,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.906,PROCESS-SHAPE,5.267,0.0,1.676,-1.676,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.906,PROCESS-SHAPE,5.267,0.0,1.411,-1.411,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.906,PROCESS-SHAPE,5.267,0.0,1.411,-1.411,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.906,PROCESS-SHAPE,5.267,0.0,0.822,-0.822,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.906,PROCESS-SHAPE,5.267,0.0,0.822,-0.822,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.906,PROCESS-SHAPE,5.267,0.0,0.667,-0.667,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.906,PROCESS-SHAPE,5.267,0.0,0.667,-0.667,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.906,PROCESS-SHAPE,5.267,0.0,0.462,-0.462,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.906,PROCESS-SHAPE,5.267,0.0,0.462,-0.462,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,3.906,PROCESS-SHAPE,5.267,0.0,0.255,-0.255,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,3.906,PROCESS-SHAPE,5.267,0.0,0.255,-0.255,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.495,PROCESS-SHAPE,5.267,0.0,1.676,-1.676,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.495,PROCESS-SHAPE,5.267,0.0,1.676,-1.676,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.495,PROCESS-SHAPE,5.267,0.0,1.411,-1.411,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.495,PROCESS-SHAPE,5.267,0.0,1.411,-1.411,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.495,PROCESS-SHAPE,5.267,0.0,0.822,-0.822,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.495,PROCESS-SHAPE,5.267,0.0,0.822,-0.822,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.495,PROCESS-SHAPE,5.267,0.0,0.667,-0.667,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.495,PROCESS-SHAPE,5.267,0.0,0.667,-0.667,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.495,PROCESS-SHAPE,5.267,0.0,0.462,-0.462,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.495,PROCESS-SHAPE,5.267,0.0,0.462,-0.462,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.495,PROCESS-SHAPE,5.267,0.0,0.255,-0.255,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.495,PROCESS-SHAPE,5.267,0.0,0.255,-0.255,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.65,PROCESS-SHAPE,5.267,0.0,1.676,-1.676,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.65,PROCESS-SHAPE,5.267,0.0,1.676,-1.676,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.65,PROCESS-SHAPE,5.267,0.0,1.411,-1.411,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.65,PROCESS-SHAPE,5.267,0.0,1.411,-1.411,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.65,PROCESS-SHAPE,5.267,0.0,0.822,-0.822,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.65,PROCESS-SHAPE,5.267,0.0,0.822,-0.822,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.65,PROCESS-SHAPE,5.267,0.0,0.667,-0.667,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.65,PROCESS-SHAPE,5.267,0.0,0.667,-0.667,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
0,2,4.65,PROCESS-SHAPE,5.267,0.0,0.462,-0.462,-0.4902208,CIRCLE-LEFT,4.7709618,1,0.05
0,2,4.65,PROCESS-SHAPE,5.267,0.0,0.462,-0.462,-0.4902208,SQUARE-RIGHT,1.9560465,1,0.05
