trial,production,response_time
1,P8,0.48
2,P8,0.66
3,P8,0.37
4,P8,0.67
5,P8,0.66
6,P8,0.61
7,P8,0.65
8,P8,0.54
9,P8,0.5
10,P8,0.45
11,P8,0.44
12,P8,0.39
13,P8,0.38
14,P8,0.51
15,P8,0.87
16,P8,0.34
17,P8,0.56
1,P10,0.53
2,P10,0.44
3,P10,0.47
4,P10,0.96
5,P10,0.46
6,P10,0.65
7,P10,0.41
8,P10,0.62
9,P10,0.62
10,P10,0.41
11,P10,0.88
12,P10,0.44
13,P10,0.5
14,P10,0.5
15,P10,0.54
16,P10,0.51
1,P4,0.5
2,P7,0.35
3,P7,0.37
4,P7,0.4
5,P7,0.84
6,P7,0.56
7,P7,0.58
8,P7,0.5
9,P7,0.44
10,P7,0.39
11,P7,0.54
12,P7,0.47
13,P7,0.6
14,P7,0.58
15,P7,0.54
16,P7,0.33
17,P7,0.37
18,P7,0.46
1,P2,0.46
2,P7,0.46
3,P7,0.6
4,P7,0.56
5,P7,0.47
6,P7,0.54
7,P7,0.53
8,P7,0.41
9,P7,0.57
10,P7,0.48
11,P7,0.47
12,P7,0.34
13,P7,0.38
14,P7,0.6
15,P7,0.54
16,P7,0.52
17,P7,0.48
18,P7,0.31
1,P6,0.38
2,P5,0.58
3,P6,0.58
4,P6,0.49
5,P6,0.73
6,P6,0.62
7,P6,0.62
8,P6,0.63
9,P6,0.5
10,P6,0.71
11,P6,0.58
12,P6,0.74
13,P6,0.47
14,P6,0.45
15,P6,0.52
16,P6,0.36
1,P4,0.54
2,P4,0.43
3,P4,0.56
4,P5,0.47
5,P4,0.56
6,P4,0.89
7,P4,0.53
8,P5,0.82
9,P4,0.61
10,P5,0.64
11,P5,0.5
12,P5,0.38
13,P5,0.55
14,P5,0.92
15,P5,0.46
1,P5,0.28
2,P5,0.63
3,P6,0.55
4,P6,0.52
5,P6,0.48
6,P6,0.45
7,P6,0.46
8,P6,0.75
9,P6,0.31
10,P6,0.63
11,P6,0.61
12,P6,0.5
13,P6,0.42
14,P6,0.39
15,P6,0.41
16,P6,0.41
17,P6,0.36
18,P6,0.36
19,P6,0.44
1,P1,0.37
2,P10,0.42
3,P10,0.65
4,P10,0.63
5,P10,0.68
6,P10,0.46
7,P10,0.82
8,P10,0.75
9,P10,0.49
10,P10,0.68
11,P10,0.58
12,P10,0.45
13,P10,0.55
14,P10,1.05
15,P10,0.45
1,P5,0.34
2,P9,0.63
3,P9,0.4
4,P9,0.41
5,P9,0.56
6,P9,0.42
7,P9,0.87
8,P9,0.85
9,P9,0.47
10,P9,0.77
11,P9,0.4
12,P9,0.54
13,P9,0.66
14,P9,0.36
15,P9,0.47
16,P9,0.47
17,P9,0.51
1,P6,0.7
2,P6,0.59
3,P6,0.46
4,P6,0.7
5,P6,0.4
6,P6,0.65
7,P6,0.56
8,P6,0.59
9,P6,0.49
10,P6,0.42
11,P6,0.55
12,P6,0.61
13,P6,1.1
14,P6,0.47
15,P6,0.4
1,P2,0.41
2,P3,0.52
3,P3,0.99
4,P3,0.46
5,P2,0.42
6,P6,0.42
7,P6,0.5
8,P6,0.42
9,P6,0.79
10,P6,0.68
11,P6,0.4
12,P6,0.42
13,P6,0.5
14,P6,0.82
15,P6,0.58
16,P6,0.39
17,P6,0.41
1,P5,0.39
2,P2,0.24
3,P2,0.9
4,P10,0.55
5,P10,0.73
6,P10,0.5
7,P10,0.41
8,P10,0.73
9,P10,0.6
10,P10,0.46
11,P10,0.47
12,P10,0.41
13,P10,0.43
14,P10,0.37
15,P10,0.43
16,P10,0.57
17,P10,0.59
1,P10,0.77
2,P10,0.75
3,P10,0.55
4,P10,0.62
5,P10,0.59
6,P10,0.8
7,P10,0.49
8,P10,0.52
9,P10,0.43
10,P10,0.63
11,P10,0.56
12,P10,0.48
13,P10,0.76
14,P10,0.44
15,P10,0.48
1,P7,1.08
2,P7,1.22
3,P7,0.96
4,P7,1.15
5,P7,0.4
6,P7,0.46
7,P7,0.53
8,P7,0.54
9,P7,0.4
10,P7,0.64
11,P7,0.38
12,P7,0.39
13,P7,0.93
1,P6,0.61
2,P4,0.52
3,P6,0.48
4,P6,0.72
5,P6,0.56
6,P6,0.4
7,P6,0.43
8,P6,0.6
9,P6,0.31
10,P6,0.45
11,P6,1.21
12,P6,0.42
13,P6,0.42
14,P6,0.33
15,P6,0.51
16,P6,0.38
17,P6,0.69
1,P6,0.46
2,P6,0.83
3,P6,0.7
4,P6,0.43
5,P6,1.04
6,P6,0.71
7,P6,0.46
8,P6,0.68
9,P6,0.46
10,P6,0.32
11,P6,0.83
12,P6,0.26
13,P6,0.38
14,P6,0.39
15,P6,0.36
16,P6,0.35
1,P10,0.57
2,P10,1.25
3,P10,0.37
4,P10,0.92
5,P10,0.45
6,P10,0.52
7,P10,0.59
8,P10,0.7
9,P10,0.78
10,P10,0.67
11,P10,0.39
12,P10,0.4
13,P10,0.47
14,P10,0.44
15,P10,0.72
1,P9,0.4
2,P9,0.54
3,P9,0.65
4,P9,0.39
5,P9,0.62
6,P9,0.6
7,P9,0.61
8,P9,0.76
9,P9,0.87
10,P9,0.48
11,P9,0.47
12,P9,0.48
13,P9,0.72
14,P9,0.52
15,P9,0.51
16,P9,0.4
1,P8,0.38
2,P8,0.73
3,P8,0.5
4,P8,0.54
5,P8,0.54
6,P8,0.76
7,P8,0.65
8,P8,0.49
9,P8,0.43
10,P8,0.57
11,P8,0.71
12,P8,0.42
13,P8,0.5
14,P8,0.34
15,P8,0.56
16,P8,0.42
17,P8,0.5
1,P3,0.7
2,P6,0.81
3,P6,0.54
4,P6,0.6
5,P6,0.59
6,P6,0.61
7,P6,0.6
8,P6,0.57
9,P6,0.66
10,P6,0.47
11,P6,0.43
12,P6,0.47
13,P6,0.64
14,P6,0.42
15,P6,1.04
1,P10,0.65
2,P10,1.09
3,P10,0.84
4,P10,0.57
5,P10,0.96
6,P10,1.18
7,P10,0.62
8,P10,0.63
9,P10,0.48
10,P10,0.66
11,P10,0.56
12,P10,0.94
1,P6,0.56
2,P2,0.62
3,P6,0.44
4,P6,0.34
5,P6,0.33
6,P6,0.39
7,P6,0.42
8,P6,0.6
9,P6,0.68
10,P6,0.36
11,P6,0.4
12,P6,0.65
13,P6,0.39
14,P6,0.63
15,P6,0.49
16,P6,0.36
17,P6,0.56
18,P6,0.35
19,P6,0.38
1,P9,0.39
2,P9,0.52
3,P9,0.5
4,P9,0.62
5,P9,0.39
6,P9,0.47
7,P9,0.83
8,P9,0.67
9,P9,1.07
10,P9,0.73
11,P9,0.43
12,P9,0.55
13,P9,0.59
14,P9,0.53
15,P9,0.5
