trial,production,firing_time
1,P8,0.133
2,P9,0.377
3,P8,0.61
4,P8,0.843
5,P8,1.076
6,P8,1.309
7,P8,1.542
8,P8,1.775
9,P8,2.008
10,P8,2.241
11,P8,2.474
12,P8,2.707
13,P8,2.94
14,P8,3.173
15,P8,3.406
16,P8,3.639
17,P8,3.872
18,P8,4.105
19,P8,4.338
20,P8,4.571
21,P8,4.804
22,P8,5.037
23,P8,5.27
24,P8,5.503
25,P8,5.736
26,P8,5.969
27,P8,6.202
28,P8,6.435
29,P8,6.668
30,P8,6.901
31,P8,7.134
32,P8,7.367
33,P8,7.6
34,P8,7.833
35,P8,8.066
36,P8,8.299
37,P8,8.532
38,P8,8.765
39,P8,8.998
40,P8,9.231
41,P8,9.464
42,P8,9.697
43,P8,9.93
1,P8,0.133
2,P8,0.366
3,P8,0.599
4,P8,0.832
5,P8,1.065
6,P8,1.298
7,P8,1.531
8,P8,1.764
9,P8,1.997
10,P8,2.23
11,P8,2.463
12,P8,2.696
13,P8,2.929
14,P8,3.162
15,P8,3.395
16,P8,3.628
17,P8,3.861
18,P8,4.094
19,P8,4.327
20,P8,4.56
21,P8,4.793
22,P8,5.026
23,P8,5.259
24,P8,5.492
25,P8,5.725
26,P8,5.958
27,P8,6.191
28,P8,6.424
29,P8,6.657
30,P8,6.89
31,P8,7.123
32,P8,7.356
33,P8,7.589
34,P8,7.822
35,P8,8.055
36,P8,8.288
37,P8,8.521
38,P8,8.754
39,P8,8.987
40,P8,9.22
41,P8,9.453
42,P8,9.686
43,P8,9.919
1,P6,0.112
2,P1,0.272
3,P6,0.484
4,P6,0.696
5,P6,0.908
6,P6,1.12
7,P6,1.332
8,P6,1.544
9,P6,1.756
10,P6,1.968
11,P6,2.18
12,P6,2.392
13,P6,2.604
14,P6,2.816
15,P6,3.028
16,P6,3.24
17,P6,3.452
18,P6,3.664
19,P6,3.876
20,P6,4.088
21,P6,4.3
22,P6,4.512
23,P6,4.724
24,P6,4.936
25,P6,5.148
26,P6,5.36
27,P6,5.572
28,P6,5.784
29,P6,5.996
30,P6,6.208
31,P6,6.42
32,P6,6.632
33,P6,6.844
34,P6,7.056
35,P6,7.268
36,P6,7.48
37,P6,7.692
38,P6,7.904
39,P6,8.116
40,P6,8.328
41,P6,8.54
42,P6,8.752
43,P6,8.964
44,P6,9.176
45,P6,9.388
46,P6,9.6
47,P6,9.812
1,P9,0.144
2,P9,0.388
3,P9,0.632
4,P9,0.876
5,P9,1.12
6,P9,1.364
7,P9,1.608
8,P9,1.852
9,P9,2.096
10,P9,2.34
11,P9,2.584
12,P9,2.828
13,P9,3.072
14,P9,3.316
15,P9,3.56
16,P9,3.804
17,P9,4.048
18,P9,4.292
19,P9,4.536
20,P9,4.78
21,P9,5.024
22,P9,5.268
23,P9,5.512
24,P9,5.756
25,P9,6.0
26,P9,6.244
27,P9,6.488
28,P9,6.732
29,P9,6.976
30,P9,7.22
31,P9,7.464
32,P9,7.708
33,P9,7.952
34,P9,8.196
35,P9,8.44
36,P9,8.684
37,P9,8.928
38,P9,9.172
39,P9,9.416
40,P9,9.66
41,P9,9.904
1,P9,0.144
2,P9,0.388
3,P9,0.632
4,P9,0.876
5,P9,1.12
6,P9,1.364
7,P9,1.608
8,P9,1.852
9,P9,2.096
10,P9,2.34
11,P9,2.584
12,P9,2.828
13,P9,3.072
14,P9,3.316
15,P9,3.56
16,P9,3.804
17,P9,4.048
18,P9,4.292
19,P9,4.536
20,P9,4.78
21,P9,5.024
22,P9,5.268
23,P9,5.512
24,P9,5.756
25,P9,6.0
26,P9,6.244
27,P9,6.488
28,P9,6.732
29,P9,6.976
30,P9,7.22
31,P9,7.464
32,P9,7.708
33,P9,7.952
34,P9,8.196
35,P9,8.44
36,P9,8.684
37,P9,8.928
38,P9,9.172
39,P9,9.416
40,P9,9.66
41,P9,9.904
1,P7,0.122
2,P7,0.344
3,P7,0.566
4,P7,0.788
5,P7,1.01
6,P7,1.232
7,P7,1.454
8,P7,1.676
9,P7,1.898
10,P7,2.12
11,P7,2.342
12,P7,2.564
13,P7,2.786
14,P7,3.008
15,P7,3.23
16,P7,3.452
17,P7,3.674
18,P7,3.896
19,P7,4.118
20,P7,4.34
21,P7,4.562
22,P7,4.784
23,P7,5.006
24,P7,5.228
25,P7,5.45
26,P7,5.672
27,P7,5.894
28,P7,6.116
29,P7,6.338
30,P7,6.56
31,P7,6.782
32,P7,7.004
33,P7,7.226
34,P7,7.448
35,P7,7.67
36,P7,7.892
37,P7,8.114
38,P7,8.336
39,P7,8.558
40,P7,8.78
41,P7,9.002
42,P7,9.224
43,P7,9.446
44,P7,9.668
45,P7,9.89
1,P2,0.07
2,P8,0.303
3,P8,0.536
4,P8,0.769
5,P8,1.002
6,P8,1.235
7,P8,1.468
8,P8,1.701
9,P8,1.934
10,P8,2.167
11,P8,2.4
12,P8,2.633
13,P8,2.866
14,P8,3.099
15,P8,3.332
16,P8,3.565
17,P8,3.798
18,P8,4.031
19,P8,4.264
20,P8,4.497
21,P8,4.73
22,P8,4.963
23,P8,5.196
24,P8,5.429
25,P8,5.662
26,P8,5.895
27,P8,6.128
28,P8,6.361
29,P8,6.594
30,P8,6.827
31,P8,7.06
32,P8,7.293
33,P8,7.526
34,P8,7.759
35,P8,7.992
36,P8,8.225
37,P8,8.458
38,P8,8.691
39,P8,8.924
40,P8,9.157
41,P8,9.39
42,P8,9.623
43,P8,9.856
1,P3,0.08
2,P7,0.302
3,P7,0.524
4,P7,0.746
5,P7,0.968
6,P7,1.19
7,P7,1.412
8,P7,1.634
9,P7,1.856
10,P7,2.078
11,P7,2.3
12,P7,2.522
13,P7,2.744
14,P7,2.966
15,P7,3.188
16,P7,3.41
17,P7,3.632
18,P7,3.854
19,P7,4.076
20,P7,4.298
21,P7,4.52
22,P7,4.742
23,P7,4.964
24,P7,5.186
25,P7,5.408
26,P7,5.63
27,P7,5.852
28,P7,6.074
29,P7,6.296
30,P7,6.518
31,P7,6.74
32,P7,6.962
33,P7,7.184
34,P7,7.406
35,P7,7.628
36,P7,7.85
37,P7,8.072
38,P7,8.294
39,P7,8.516
40,P7,8.738
41,P7,8.96
42,P7,9.182
43,P7,9.404
44,P7,9.626
45,P7,9.848
1,P5,0.101
2,P1,0.261
3,P10,0.516
4,P10,0.771
5,P10,1.026
6,P10,1.281
7,P10,1.536
8,P10,1.791
9,P10,2.046
10,P10,2.301
11,P10,2.556
12,P10,2.811
13,P10,3.066
14,P10,3.321
15,P10,3.576
16,P10,3.831
17,P10,4.086
18,P10,4.341
19,P10,4.596
20,P10,4.851
21,P10,5.106
22,P10,5.361
23,P10,5.616
24,P10,5.871
25,P10,6.126
26,P10,6.381
27,P10,6.636
28,P10,6.891
29,P10,7.146
30,P10,7.401
31,P10,7.656
32,P10,7.911
33,P10,8.166
34,P10,8.421
35,P10,8.676
36,P10,8.931
37,P10,9.186
38,P10,9.441
39,P10,9.696
40,P10,9.951
1,P9,0.144
2,P9,0.388
3,P9,0.632
4,P9,0.876
5,P9,1.12
6,P9,1.364
7,P9,1.608
8,P9,1.852
9,P9,2.096
10,P9,2.34
11,P9,2.584
12,P9,2.828
13,P9,3.072
14,P9,3.316
15,P9,3.56
16,P9,3.804
17,P9,4.048
18,P9,4.292
19,P9,4.536
20,P9,4.78
21,P9,5.024
22,P9,5.268
23,P9,5.512
24,P9,5.756
25,P9,6.0
26,P9,6.244
27,P9,6.488
28,P9,6.732
29,P9,6.976
30,P9,7.22
31,P9,7.464
32,P9,7.708
33,P9,7.952
34,P9,8.196
35,P9,8.44
36,P9,8.684
37,P9,8.928
38,P9,9.172
39,P9,9.416
40,P9,9.66
41,P9,9.904
1,P5,0.101
2,P5,0.302
3,P5,0.503
4,P5,0.704
5,P5,0.905
6,P5,1.106
7,P5,1.307
8,P5,1.508
9,P5,1.709
10,P5,1.91
11,P5,2.111
12,P5,2.312
13,P5,2.513
14,P5,2.714
15,P5,2.915
16,P5,3.116
17,P5,3.317
18,P5,3.518
19,P5,3.719
20,P5,3.92
21,P5,4.121
22,P5,4.322
23,P5,4.523
24,P5,4.724
25,P5,4.925
26,P5,5.126
27,P5,5.327
28,P5,5.528
29,P5,5.729
30,P5,5.93
31,P5,6.131
32,P5,6.332
33,P5,6.533
34,P5,6.734
35,P5,6.935
36,P5,7.136
37,P5,7.337
38,P5,7.538
39,P2,7.708
40,P5,7.909
41,P5,8.11
42,P5,8.311
43,P5,8.512
44,P5,8.713
45,P5,8.914
46,P5,9.115
47,P5,9.316
48,P5,9.517
49,P5,9.718
50,P5,9.919
1,P9,0.144
2,P9,0.388
3,P9,0.632
4,P9,0.876
5,P9,1.12
6,P9,1.364
7,P9,1.608
8,P9,1.852
9,P9,2.096
10,P9,2.34
11,P9,2.584
12,P9,2.828
13,P9,3.072
14,P9,3.316
15,P9,3.56
16,P9,3.804
17,P9,4.048
18,P9,4.292
