trial,production,firing_time
1,P8,0.133
2,P8,0.658
3,P8,1.372
4,P8,1.791
5,P8,2.513
6,P8,3.223
7,P8,3.884
8,P8,4.583
9,P8,5.175
10,P8,5.723
11,P8,6.218
12,P8,6.707
13,P8,7.147
14,P8,7.58
15,P8,8.141
16,P8,9.065
17,P8,9.45
1,P10,0.155
2,P10,0.731
3,P10,1.223
4,P10,1.743
5,P10,2.749
6,P10,3.254
7,P10,3.952
8,P10,4.415
9,P10,5.085
10,P10,5.751
11,P10,6.215
12,P10,7.149
13,P10,7.641
14,P10,8.19
15,P10,8.744
16,P10,9.336
17,P10,9.892
1,P4,0.091
2,P7,0.677
3,P7,1.075
4,P7,1.495
5,P7,1.947
6,P7,2.841
7,P7,3.456
8,P7,4.082
9,P7,4.632
10,P7,5.126
11,P7,5.566
12,P7,6.152
13,P7,6.669
14,P7,7.316
15,P7,7.945
16,P7,8.536
17,P7,8.915
18,P7,9.335
19,P7,9.847
1,P2,0.07
2,P7,0.637
3,P7,1.151
4,P7,1.802
5,P7,2.407
6,P7,2.923
7,P7,3.518
8,P7,4.101
9,P7,4.564
10,P7,5.181
11,P7,5.708
12,P7,6.233
13,P7,6.619
14,P7,7.053
15,P7,7.701
16,P7,8.296
17,P7,8.862
18,P7,9.39
19,P7,9.755
1,P6,0.112
2,P5,0.526
3,P6,1.166
4,P6,1.796
5,P6,2.339
6,P6,3.121
7,P6,3.792
8,P6,4.463
9,P6,5.145
10,P6,5.692
11,P6,6.454
12,P6,7.088
13,P6,7.873
14,P6,8.394
15,P6,8.891
16,P6,9.463
17,P6,9.877
1,P4,0.091
2,P4,0.682
3,P4,1.162
4,P5,1.778
5,P4,2.29
6,P4,2.904
7,P4,3.848
8,P5,4.434
9,P4,5.294
10,P5,5.965
11,P5,6.655
12,P5,7.209
13,P5,7.642
14,P5,8.244
15,P5,9.216
16,P5,9.724
1,P5,0.101
2,P5,0.432
3,P6,1.121
4,P6,1.716
5,P6,2.285
6,P6,2.812
7,P6,3.316
8,P6,3.828
9,P6,4.626
10,P6,4.987
11,P6,5.67
12,P6,6.332
13,P6,6.878
14,P6,7.346
15,P6,7.787
16,P6,8.247
17,P6,8.703
18,P6,9.112
19,P6,9.523
1,P1,0.06
2,P10,0.574
3,P10,1.041
4,P10,1.739
5,P10,2.419
6,P10,3.15
7,P10,3.658
8,P10,4.53
9,P10,5.334
10,P10,5.869
11,P10,6.595
12,P10,7.223
13,P10,7.722
14,P10,8.319
15,P10,9.417
16,P10,9.918
1,P5,0.101
2,P9,0.53
3,P9,1.208
4,P9,1.663
5,P9,2.122
6,P9,2.727
7,P9,3.197
8,P9,4.117
9,P9,5.02
10,P9,5.545
11,P9,6.36
12,P9,6.806
13,P9,7.393
14,P9,8.106
15,P9,8.518
16,P9,9.035
17,P9,9.552
1,P6,0.112
2,P6,0.862
3,P6,1.501
