epoch,production,u,utility,delivered_reward
0,P1,0.0,-0.110346645,0
0,P2,0.0,1.4538634,1
0,P3,0.0,-0.98343194,2
0,P4,0.0,-0.5240547,3
0,P5,0.0,-0.3247495,4
0,P6,0.0,-0.13757505,5
0,P7,0.0,1.008761,6
0,P8,6.9169993,4.018131,7
0,P9,3.1624,3.5428925,8
0,P10,0.0,-0.8768702,9
1,P1,0.0,1.0397521,0
1,P2,0.0,0.32176957,1
1,P3,0.0,-0.5821036,2
1,P4,0.0,-0.25600278,3
1,P5,0.0,0.64015365,4
1,P6,0.0,0.01357804,5
1,P7,0.0,0.13757168,6
1,P8,6.9169993,6.4241266,7
1,P9,0.0,-0.9255541,8
1,P10,0.0,0.21723236,9
2,P1,-0.004,0.43433306,0
2,P2,0.0,0.23644061,1
2,P3,0.0,0.90705377,2
2,P4,0.0,0.15349016,3
2,P5,0.0,0.26051465,4
2,P6,4.9379997,4.4252634,5
2,P7,0.0,0.10277259,6
2,P8,0.0,1.0979998,7
2,P9,0.0,-0.3650871,8
2,P10,0.0,-0.6232136,9
3,P1,0.0,0.8610923,0
3,P2,0.0,-1.1248934,1
3,P3,0.0,0.36353675,2
3,P4,0.0,-0.0016877793,3
3,P5,0.0,1.142888,4
3,P6,0.0,-1.0410317,5
3,P7,0.0,-0.11938006,6
3,P8,0.0,-1.029849,7
3,P9,7.9059997,8.612427,8
3,P10,0.0,-1.9778486,9
4,P1,0.0,-0.8831696,0
4,P2,0.0,-1.5969602,1
4,P3,0.0,-0.6325346,2
4,P4,0.0,0.5088082,3
4,P5,0.0,-0.12675382,4
4,P6,0.0,-0.6473852,5
4,P7,0.0,0.9323699,6
4,P8,0.0,-0.4263347,7
4,P9,7.9059997,7.6954246,8
4,P10,0.0,0.590121,9
5,P1,0.0,0.2803592,0
5,P2,0.0,0.752378,1
5,P3,0.0,-0.60134065,2
5,P4,0.0,-1.2837029,3
5,P5,0.0,2.7290804,4
5,P6,0.0,1.1818924,5
5,P7,5.9279995,6.359152,6
5,P8,0.0,0.7870818,7
5,P9,0.0,-0.043519527,8
5,P10,0.0,2.0567677,9
6,P1,0.0,-0.72149646,0
6,P2,0.39200002,-0.23759562,1
6,P3,0.0,1.0873221,2
6,P4,0.0,-0.94910794,3
6,P5,0.0,-2.3446796,4
6,P6,0.0,-0.2760746,5
6,P7,0.0,-0.9383717,6
6,P8,6.9169993,6.6502285,7
6,P9,0.0,-0.7012327,8
6,P10,0.0,-0.88710654,9
7,P1,0.0,-1.5291619,0
7,P2,0.0,0.599287,1
7,P3,0.78800005,1.0469251,2
7,P4,0.0,-0.25240237,3
7,P5,0.0,0.6010336,4
7,P6,0.0,-0.35546052,5
7,P7,5.9279995,2.919964,6
7,P8,0.0,-0.16261569,7
7,P9,0.0,-1.9470005,8
7,P10,0.0,-0.560984,9
8,P1,-0.004,0.084506325,0
8,P2,0.0,-0.30411607,1
8,P3,0.0,1.035657,2
8,P4,0.0,0.67077357,3
8,P5,1.5796,0.5326513,4
8,P6,0.0,-1.9468907,5
8,P7,0.0,1.1301916,6
8,P8,0.0,-0.9104107,7
8,P9,0.0,0.06880869,8
8,P10,8.8949995,8.403311,9
9,P1,0.0,0.07974401,0
9,P2,0.0,0.5229362,1
9,P3,0.0,-3.4235618,2
9,P4,0.0,-0.41957164,3
9,P5,0.0,3.2200866,4
9,P6,0.0,0.9123167,5
9,P7,0.0,-0.7970087,6
9,P8,0.0,1.0547823,7
9,P9,7.9059997,7.890425,8
9,P10,0.0,1.5031867,9
10,P1,0.0,-0.37939948,0
10,P2,0.39200002,3.0512266,1
10,P3,0.0,-1.7556171,2
10,P4,0.0,-0.60931575,3
10,P5,3.9489996,4.5562563,4
10,P6,0.0,0.8561288,5
10,P7,0.0,0.30005267,6
10,P8,0.0,-1.344114,7
10,P9,0.0,0.08587398,8
10,P10,0.0,1.7718761,9
11,P1,0.0,-1.8636633,0
11,P2,0.0,-0.565842,1
11,P3,0.0,-1.3073767,2
11,P4,0.0,2.844019,3
11,P5,0.0,0.5889318,4
11,P6,0.0,0.34234276,5
11,P7,0.0,0.7706991,6
11,P8,0.0,1.1273613,7
11,P9,7.9059997,8.19853,8
11,P10,0.0,0.24904509,9
12,P1,-0.004,0.5884273,0
12,P2,0.0,-3.8466346,1
12,P3,0.0,-0.1962433,2
12,P4,1.1836001,1.5955119,3
12,P5,0.0,0.6984794,4
12,P6,4.9379997,6.657928,5
12,P7,0.0,-0.048205502,6
12,P8,0.0,0.10361902,7
12,P9,0.0,1.6124929,8
12,P10,0.0,-0.436077,9
13,P1,0.0,-0.361461,0
13,P2,0.0,1.0577183,1
13,P3,0.0,-0.40601313,2
13,P4,0.0,-0.46090004,3
13,P5,0.0,0.14258872,4
13,P6,0.0,-0.065609984,5
13,P7,0.0,1.6524204,6
13,P8,0.0,0.23171446,7
13,P9,7.9059997,8.377205,8
13,P10,0.0,0.42910185,9
14,P1,0.0,-0.08985137,0
14,P2,0.0,2.7425404,1
14,P3,0.0,-1.1425345,2
14,P4,0.0,-0.2919281,3
14,P5,0.0,0.5029046,4
14,P6,0.0,-0.13619933,5
14,P7,0.0,0.472881,6
14,P8,0.0,1.1195492,7
14,P9,7.9059997,11.93161,8
14,P10,0.0,-0.63144934,9
15,P1,-0.004,0.8082432,0
15,P2,0.0,1.5108755,1
15,P3,1.9369116,0.43889558,2
15,P4,0.0,-0.14789508,3
15,P5,0.0,-0.61861646,4
15,P6,0.0,1.1221567,5
15,P7,0.0,-0.9789061,6
15,P8,0.0,0.36854637,7
15,P9,7.9059997,7.2151656,8
15,P10,0.0,-1.1038882,9
16,P1,0.0,0.17447388,0
16,P2,0.0,-0.2066109,1
16,P3,0.0,0.21809183,2
16,P4,0.0,-0.3645233,3
16,P5,0.0,-1.941583,4
16,P6,0.0,-0.8752155,5
16,P7,0.0,2.1192472,6
16,P8,6.9169993,7.2579412,7
16,P9,0.0,-0.34305945,8
16,P10,0.0,-0.956022,9
17,P1,-0.004,0.815424,0
17,P2,0.0,0.45689386,1
17,P3,0.0,-0.4185171,2
17,P4,0.0,1.308271,3
17,P5,1.5796,1.6871365,4
17,P6,0.0,-1.9731649,5
17,P7,5.9279995,6.773285,6
17,P8,0.0,1.4236739,7
17,P9,0.0,-0.077053815,8
17,P10,0.0,0.87279445,9
18,P1,0.0,0.503207,0
18,P2,0.0,-0.21563968,1
18,P3,0.78800005,2.0991995,2
18,P4,0.0,-0.32388625,3
18,P5,0.0,0.7547218,4
18,P6,0.0,-0.42046142,5
18,P7,0.0,-0.5550858,6
18,P8,0.0,0.33599785,7
18,P9,0.0,0.6639612,8
18,P10,8.8949995,10.152632,9
19,P1,0.0,-0.6998116,0
19,P2,0.0,0.91070753,1
19,P3,0.0,0.66127956,2
19,P4,0.0,0.063496046,3
19,P5,0.0,-0.25840503,4
19,P6,0.0,-0.5848213,5
19,P7,5.9279995,5.3537126,6
19,P8,0.0,-0.25059947,7
19,P9,0.0,-0.3944093,8
19,P10,0.0,0.89064735,9
20,P1,0.0,1.4759812,0
20,P2,0.39200002,0.053314656,1
20,P3,0.0,0.31434092,2
20,P4,0.0,0.3221308,3
20,P5,0.0,0.38534722,4
20,P6,0.0,-1.0750594,5
20,P7,0.0,-0.26516086,6
20,P8,0.0,-0.113218,7
20,P9,7.9059997,7.4739976,8
20,P10,0.0,0.06723426,9
21,P1,-0.004,0.48553118,0
21,P2,0.0,0.386562,1
21,P3,0.0,1.4374905,2
21,P4,0.0,1.0892273,3
21,P5,0.0,-0.5539312,4
21,P6,0.0,1.1126285,5
21,P7,5.9279995,6.3017426,6
21,P8,0.0,1.7152724,7
21,P9,0.0,-0.35299134,8
21,P10,0.0,2.8656642,9
22,P1,0.0,0.6458577,0
22,P2,0.0,-1.1812491,1
22,P3,0.0,-0.5002377,2
22,P4,0.0,1.7677921,3
22,P5,0.0,0.8179799,4
22,P6,4.9379997,4.225344,5
22,P7,0.0,-0.66554284,6
22,P8,0.0,-0.362223,7
22,P9,0.0,0.13308606,8
22,P10,0.0,0.6065974,9
23,P1,0.0,0.5689894,0
23,P2,0.0,-0.23386642,1
23,P3,0.0,1.053465,2
23,P4,0.0,-0.4645365,3
23,P5,0.0,-1.5900116,4
23,P6,0.0,0.3680241,5
23,P7,0.0,0.22235645,6
23,P8,0.0,0.20005506,7
23,P9,0.0,-0.08321497,8
23,P10,8.8949995,8.164933,9
24,P1,0.0,1.1967034,0
24,P2,0.0,-0.33129737,1
24,P3,0.0,-0.8880674,2
24,P4,0.0,0.3505206,3
24,P5,0.0,-0.70461506,4
24,P6,0.0,-0.4725563,5
24,P7,0.0,2.1778908,6
24,P8,6.9169993,6.9972906,7
24,P9,0.0,0.72649,8
24,P10,0.0,-0.20174436,9
25,P1,0.0,-1.0472591,0
25,P2,0.0,-1.598818,1
25,P3,0.0,1.5988888,2
25,P4,0.0,-1.4061975,3
25,P5,0.0,-0.44017473,4
25,P6,4.9379997,5.0768976,5
25,P7,2.3712,2.7889352,6
25,P8,0.0,-0.89439183,7
25,P9,0.0,-0.053235464,8
25,P10,0.0,2.822774,9
26,P1,0.0,-0.92445475,0
26,P2,0.0,1.5199463,1
26,P3,0.0,-2.0981567,2
26,P4,1.1836001,2.046725,3
26,P5,3.909203,4.589876,4
26,P6,0.0,-0.39478046,5
26,P7,0.0,-0.63731676,6
26,P8,6.9169993,7.257519,7
26,P9,0.0,-1.0638806,8
26,P10,0.0,1.5394335,9
27,P1,0.0,-2.0047863,0
27,P2,0.0,0.08278129,1
27,P3,0.0,0.44486478,2
27,P4,0.0,0.33703196,3
27,P5,2.52736,1.6068598,4
27,P6,0.0,-0.006484232,5
27,P7,5.9279995,5.114629,6
27,P8,0.0,-0.4668758,7
27,P9,0.0,-1.4370192,8
27,P10,0.0,0.623105,9
28,P1,0.0,-0.02712128,0
28,P2,0.0,1.8014035,1
28,P3,0.0,-0.3461826,2
28,P4,0.0,-1.2708478,3
28,P5,0.0,0.27909303,4
28,P6,0.0,0.44271407,5
28,P7,0.0,-0.4594859,6
28,P8,0.0,0.39131415,7
28,P9,0.0,0.74137294,8
28,P10,8.8949995,9.09559,9
29,P1,0.0,-0.6425451,0
29,P2,0.0,0.80110455,1
29,P3,0.0,0.1593991,2
29,P4,2.5755138,2.775379,3
29,P5,0.0,0.7005325,4
29,P6,0.0,0.944084,5
29,P7,0.0,0.46073171,6
29,P8,6.9169993,5.958005,7
29,P9,0.0,-0.40043253,8
29,P10,0.0,1.164702,9
30,P1,0.0,0.5124618,0
30,P2,0.0,0.028861465,1
30,P3,0.0,1.6750224,2
30,P4,0.0,-0.24732025,3
30,P5,0.0,-0.13382202,4
30,P6,4.9379997,2.8988976,5
30,P7,0.0,1.0189356,6
30,P8,0.0,0.3503076,7
30,P9,0.0,0.30199495,8
30,P10,0.0,0.8150873,9
31,P1,0.0,0.027632216,0
31,P2,0.0,0.40806946,1
31,P3,0.0,-0.6605654,2
31,P4,0.0,0.96790034,3
31,P5,1.5796,1.6632758,4
31,P6,0.0,-0.34908885,5
31,P7,5.9279995,5.6250086,6
31,P8,0.0,-0.05855722,7
31,P9,0.0,1.0451936,8
31,P10,0.0,-0.9580828,9
32,P1,-0.004,0.960138,0
32,P2,0.39200002,0.80723035,1
32,P3,0.0,0.34519574,2
32,P4,0.0,0.19217078,3
32,P5,3.096016,3.6541018,4
32,P6,4.9379997,7.6580048,5
32,P7,0.0,-0.72514725,6
32,P8,0.0,-0.49421695,7
32,P9,0.0,2.3889446,8
32,P10,0.0,-0.46105874,9
33,P1,-0.004,1.5468829,0
33,P2,0.6272,0.20478815,1
33,P3,0.0,1.1538051,2
33,P4,0.0,1.7365118,3
33,P5,0.0,-0.91252136,4
33,P6,0.0,-0.5500207,5
33,P7,0.0,0.23073745,6
33,P8,0.0,0.70277286,7
33,P9,7.9059997,7.747905,8
33,P10,0.0,0.6846459,9
34,P1,0.0,0.06925425,0
34,P2,0.39200002,0.49591744,1
34,P3,0.0,1.1435214,2
34,P4,0.0,1.2157207,3
34,P5,0.0,-0.15300888,4
34,P6,4.9379997,4.1507654,5
34,P7,0.0,1.7279183,6
