epoch,production,u,utility,delivered_reward
0,P1,0.0,1.7270243,0.0669
0,P2,0.0,-0.73843426,0.1799
0,P3,0.0,-0.3909547,0.4743
0,P4,0.0,0.47621617,1.192
0,P5,0.0,-1.5881225,2.6894
0,P6,0.0,0.9435566,5.0
0,P7,0.0,-0.7823047,7.3106
0,P8,8.723522,6.8916554,8.808
0,P9,0.0,-1.1469111,9.5257
0,P10,0.0,-0.7305752,9.8201
1,P1,0.0,0.89228344,0.0669
1,P2,0.0,0.6231992,0.1799
1,P3,0.0,-2.2677374,0.4743
1,P4,0.0,-0.5894188,1.192
1,P5,0.0,0.32435405,2.6894
1,P6,0.0,1.0008059,5.0
1,P7,0.0,1.5701542,7.3106
1,P8,0.0,-0.7945619,8.808
1,P9,0.0,0.8582689,9.5257
1,P10,9.713456,9.375848,9.8201
2,P1,0.0,-0.11685534,0.0669
2,P2,0.0,-2.071548,0.1799
2,P3,0.0,-2.5923717,0.4743
2,P4,0.46040002,-0.8796706,1.192
2,P5,0.0,-1.3919021,2.6894
2,P6,0.0,0.12463329,5.0
2,P7,7.2378645,9.175218,7.3106
2,P8,0.0,-0.34720823,8.808
2,P9,0.0,-0.25934187,9.5257
2,P10,0.0,-0.020530604,9.8201
3,P1,0.0,-0.23964885,0.0669
3,P2,0.06396001,0.26916334,0.1799
3,P3,0.0,-1.0311413,0.4743
3,P4,0.0,-0.05925116,1.192
3,P5,0.0,-0.94222766,2.6894
3,P6,0.0,-0.8661639,5.0
3,P7,7.2378645,7.793612,7.3106
3,P8,0.0,-0.5879511,8.808
3,P9,0.0,-0.01837485,9.5257
3,P10,0.0,0.34765163,9.8201
4,P1,0.0,0.8386483,0.0669
4,P2,0.0,0.4318296,0.1799
4,P3,0.0,-0.55889463,0.4743
4,P4,0.0,-0.61453354,1.192
4,P5,1.0553601,0.52096957,2.6894
4,P6,4.9366074,3.9953616,5.0
4,P7,0.0,-0.08154441,7.3106
4,P8,0.0,1.6164203,8.808
4,P9,0.0,0.29360744,9.5257
4,P10,0.0,0.08192138,9.8201
5,P1,0.0,-1.0607557,0.0669
5,P2,0.0,-1.4536276,0.1799
5,P3,0.0,0.55936915,0.4743
5,P4,1.1187794,0.87454396,1.192
5,P5,2.6118112,2.77168,2.6894
5,P6,0.0,0.5187852,5.0
5,P7,0.0,0.69885886,7.3106
5,P8,0.0,-0.8810979,8.808
5,P9,0.0,-0.64309925,9.5257
5,P10,0.0,-0.6501473,9.8201
6,P1,0.0,-0.63024133,0.0669
6,P2,0.0,0.8727141,0.1799
6,P3,0.0,0.120234296,0.4743
6,P4,0.0,0.11617772,1.192
6,P5,1.6885761,0.67634654,2.6894
